Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
13,Ag Econ Foundations,hedging_storage,Williams,Jeffrey C.,Storage and Commodity Markets,1991,Cambridge UP,BOOK,none,HIGH,NEEDED,With Wright; storage-theory treatise,https://annas-archive.org/search?q=Williams+Storage+and+Commodity+Markets,https://archive.org/search?query=Williams+Storage+and+Commodity+Markets,,Williams Storage and Commodity Markets
14,Ag Econ Foundations,hedging_storage,Pirrong,Craig,Commodity Price Dynamics: A Structural Approach,2011,Cambridge UP,BOOK,none,MEDIUM,NEEDED,Modern commodity pricing,https://annas-archive.org/search?q=Pirrong+Commodity+Price+Dynamics%3A+A+Structural+Approach,https://archive.org/search?query=Pirrong+Commodity+Price+Dynamics%3A+A+Structural+Approach,,Pirrong Commodity Price Dynamics: A Structural Approach
15,Ag Econ Foundations,market_structure,Sexton,Richard J.,"Market Power, Misconceptions, and Modern Agricultural Markets",2013,AJAE,ARTICLE,multi,HIGH,NEEDED,Presidential address,https://annas-archive.org/search?q=Sexton+Market+Power%2C+Misconceptions%2C+and+Modern+Agricultural+Markets,https://archive.org/search?query=Sexton+Market+Power%2C+Misconceptions%2C+and+Modern+Agricultural+Markets,https://doi.org/10.1093/ajae/aas102,"Sexton Market Power, Misconceptions, and Modern Agricultural Markets"
16,Ag Econ Foundations,market_structure,MacDonald,James M.,Concentration and Competition in U.S. Agribusiness,2017,USDA ERS EIB-175,REPORT,multi,HIGH,NEEDED,Comprehensive concentration survey,https://annas-archive.org/search?q=MacDonald+Concentration+and+Competition+in+U.S.+Agribusiness,https://archive.org/search?query=MacDonald+Concentration+and+Competition+in+U.S.+Agribusiness,https://www.ers.usda.gov/publications/pub-details/?pubid=84417,MacDonald Concentration and Competition in U.S. Agribusiness
17,Ag Econ Foundations,price_theory,Just,Richard E.,The Welfare Economics of Public Policy,2004,Edward Elgar,BOOK,none,MEDIUM,NEEDED,"With Hueth, Schmitz; welfare tools",https://annas-archive.org/search?q=Just+The+Welfare+Economics+of+Public+Policy,https://archive.org/search?query=Just+The+Welfare+Economics+of+Public+Policy,,Just The Welfare Economics of Public Policy
18,Ag Econ Foundations,price_theory,Timmer,C. Peter,Food Policy Analysis,1983,Johns Hopkins (World Bank),BOOK,none,HIGH,NEEDED,"With Falcon, Pearson; classic food policy text",https://annas-archive.org/search?q=Timmer+Food+Policy+Analysis,https://archive.org/search?query=Timmer+Food+Policy+Analysis,,Timmer Food Policy Analysis
19,Ag Econ Foundations,price_theory,Norton,George W.,Economics of Agricultural Development,2015,Routledge,BOOK,none,MEDIUM,NEEDED,"With Alwang, Masters; 3rd ed",https://annas-archive.org/search?q=Norton+Economics+of+Agricultural+Development,https://archive.org/search?query=Norton+Economics+of+Agricultural+Development,,Norton Economics of Agricultural Development
20,Ag Econ Foundations,supply_response,Muth,John F.,Rational Expectations and the Theory of Price Movements,1961,Econometrica,ARTICLE,none,HIGH,NEEDED,Motivated by hog-cycle problem,https://annas-archive.org/search?q=Muth+Rational+Expectations+and+the+Theory+of+Price+Movements,https://archive.org/search?query=Muth+Rational+Expectations+and+the+Theory+of+Price+Movements,https://www.jstor.org/stable/1909635,Muth Rational Expectations and the Theory of Price Movements
21,Ag Econ Foundations,futures_markets,Hull,John C.,"Options, Futures, and Other Derivatives",2021,Pearson,BOOK,none,LOW,NEEDED,Reference derivative text,https://annas-archive.org/search?q=Hull+Options%2C+Futures%2C+and+Other+Derivatives,https://archive.org/search?query=Hull+Options%2C+Futures%2C+and+Other+Derivatives,,"Hull Options, Futures, and Other Derivatives"
22,Ag Econ Foundations,futures_markets,Geman,Helyette,Commodities and Commodity Derivatives,2005,Wiley,BOOK,none,LOW,NEEDED,Quant reference,https://annas-archive.org/search?q=Geman+Commodities+and+Commodity+Derivatives,https://archive.org/search?query=Geman+Commodities+and+Commodity+Derivatives,,Geman Commodities and Commodity Derivatives
23,Ag Econ Foundations,hedging_storage,Working,Holbrook,Futures Trading and Hedging,1953,American Economic Review,ARTICLE,none,MEDIUM,NEEDED,Working's hedging-pressure theory,https://annas-archive.org/search?q=Working+Futures+Trading+and+Hedging,https://archive.org/search?query=Working+Futures+Trading+and+Hedging,https://www.jstor.org/stable/1812835,Working Futures Trading and Hedging
24,Ag Econ Foundations,market_structure,Bain,Joe S.,Industrial Organization,1968,Wiley,BOOK,none,LOW,NEEDED,Classic IO text; SCP paradigm,https://annas-archive.org/search?q=Bain+Industrial+Organization,https://archive.org/search?query=Bain+Industrial+Organization,,Bain Industrial Organization
25,Ag Econ Foundations,price_theory,Barrett,Christopher B.,Displaced Distortions: Financial Market Failures and Seemingly Inefficient Resource Allocation,2008,Ag Econ,ARTICLE,none,MEDIUM,NEEDED,Credit-constrained farmer decisions,https://annas-archive.org/search?q=Barrett+Displaced+Distortions%3A+Financial+Market+Failures+and+Seemingly+Inefficient+Resource+Allocation,https://archive.org/search?query=Barrett+Displaced+Distortions%3A+Financial+Market+Failures+and+Seemingly+Inefficient+Resource+Allocation,,Barrett Displaced Distortions: Financial Market Failures and Seemingly Inefficient Resource Allocation
26,Ag Econ Foundations,supply_response,Askari,Hossein,Estimating Agricultural Supply Response with the Nerlove Model,1977,International Economic Review,ARTICLE,none,LOW,NEEDED,Methodological note,https://annas-archive.org/search?q=Askari+Estimating+Agricultural+Supply+Response+with+the+Nerlove+Model,https://archive.org/search?query=Askari+Estimating+Agricultural+Supply+Response+with+the+Nerlove+Model,,Askari Estimating Agricultural Supply Response with the Nerlove Model
27,Ag Econ Foundations,futures_markets,Pindyck,Robert S.,The Dynamics of Commodity Spot and Futures Markets: A Primer,2001,Energy Journal,ARTICLE,none,MEDIUM,NEEDED,Convenient survey,https://annas-archive.org/search?q=Pindyck+The+Dynamics+of+Commodity+Spot+and+Futures+Markets%3A+A+Primer,https://archive.org/search?query=Pindyck+The+Dynamics+of+Commodity+Spot+and+Futures+Markets%3A+A+Primer,,Pindyck The Dynamics of Commodity Spot and Futures Markets: A Primer
28,Ag Econ Foundations,price_theory,Myers,Robert J.,On the Costs of Food Price Fluctuations in Low-Income Countries,2006,Food Policy,ARTICLE,none,MEDIUM,NEEDED,Welfare costs of volatility,https://annas-archive.org/search?q=Myers+On+the+Costs+of+Food+Price+Fluctuations+in+Low-Income+Countries,https://archive.org/search?query=Myers+On+the+Costs+of+Food+Price+Fluctuations+in+Low-Income+Countries,,Myers On the Costs of Food Price Fluctuations in Low-Income Countries
29,Ag Econ Foundations,market_structure,Hendrickson,Mary,Consolidation in the Food and Agriculture System,2001,U Missouri,REPORT,multi,MEDIUM,NEEDED,Heffernan report tradition,https://annas-archive.org/search?q=Hendrickson+Consolidation+in+the+Food+and+Agriculture+System,https://archive.org/search?query=Hendrickson+Consolidation+in+the+Food+and+Agriculture+System,,Hendrickson Consolidation in the Food and Agriculture System
30,Ag Econ Foundations,price_theory,Johnson,D. Gale,World Agriculture in Disarray,1973,Fontana,BOOK,none,HIGH,NEEDED,Classic critique of trade-distorting policy,https://annas-archive.org/search?q=Johnson+World+Agriculture+in+Disarray,https://archive.org/search?query=Johnson+World+Agriculture+in+Disarray,,Johnson World Agriculture in Disarray
31,US Commodity Policy,farm_bills,Imhoff,Daniel,The Farm Bill: A Citizen's Guide,2019,Island Press,BOOK,multi,CRITICAL,NEEDED,Most accessible Farm Bill primer,https://annas-archive.org/search?q=Imhoff+The+Farm+Bill%3A+A+Citizen%27s+Guide,https://archive.org/search?query=Imhoff+The+Farm+Bill%3A+A+Citizen%27s+Guide,,Imhoff The Farm Bill: A Citizen's Guide
32,US Commodity Policy,farm_bills,Hanrahan,Charles,The 2018 Farm Bill: Summary and Side-by-Side Comparison,2019,CRS Report R45525,REPORT,multi,HIGH,NEEDED,Congressional Research Service,https://annas-archive.org/search?q=Hanrahan+The+2018+Farm+Bill%3A+Summary+and+Side-by-Side+Comparison,https://archive.org/search?query=Hanrahan+The+2018+Farm+Bill%3A+Summary+and+Side-by-Side+Comparison,https://crsreports.congress.gov/product/pdf/R/R45525,Hanrahan The 2018 Farm Bill: Summary and Side-by-Side Comparison
33,US Commodity Policy,farm_bills,Schnepf,Randy,U.S. Farm Policy: History and Recent Trends,2019,CRS Report,REPORT,multi,HIGH,NEEDED,Historical context of programs,https://annas-archive.org/search?q=Schnepf+U.S.+Farm+Policy%3A+History+and+Recent+Trends,https://archive.org/search?query=Schnepf+U.S.+Farm+Policy%3A+History+and+Recent+Trends,https://crsreports.congress.gov/product/pdf/R/R45525,Schnepf U.S. Farm Policy: History and Recent Trends
34,US Commodity Policy,farm_bills,Bowers,Douglas E.,"History of Agricultural Price-Support and Adjustment Programs, 1933-84",1984,USDA ERS AIB-485,REPORT,multi,HIGH,NEEDED,Gardner co-author; historical reference,https://annas-archive.org/search?q=Bowers+History+of+Agricultural+Price-Support+and+Adjustment+Programs%2C+1933-84,https://archive.org/search?query=Bowers+History+of+Agricultural+Price-Support+and+Adjustment+Programs%2C+1933-84,,"Bowers History of Agricultural Price-Support and Adjustment Programs, 1933-84"
35,US Commodity Policy,subsidies_supports,Gardner,Bruce L.,American Agriculture in the Twentieth Century: How It Flourished and What It Cost,2002,Harvard UP,BOOK,multi,CRITICAL,NEEDED,Definitive 20c US ag history,https://annas-archive.org/search?q=Gardner+American+Agriculture+in+the+Twentieth+Century%3A+How+It+Flourished+and+What+It+Cost,https://archive.org/search?query=Gardner+American+Agriculture+in+the+Twentieth+Century%3A+How+It+Flourished+and+What+It+Cost,,Gardner American Agriculture in the Twentieth Century: How It Flourished and What It Cost
36,US Commodity Policy,subsidies_supports,Orden,David,Policy Reform in American Agriculture,1999,U Chicago Press,BOOK,multi,HIGH,NEEDED,"With Paarlberg, Roe; FAIR Act analysis",https://annas-archive.org/search?q=Orden+Policy+Reform+in+American+Agriculture,https://archive.org/search?query=Orden+Policy+Reform+in+American+Agriculture,,Orden Policy Reform in American Agriculture
37,US Commodity Policy,subsidies_supports,Sumner,Daniel A.,Economic Analysis of U.S. Cotton Subsidy Programs,2006,AJAE,ARTICLE,none,MEDIUM,NEEDED,WTO case context,https://annas-archive.org/search?q=Sumner+Economic+Analysis+of+U.S.+Cotton+Subsidy+Programs,https://archive.org/search?query=Sumner+Economic+Analysis+of+U.S.+Cotton+Subsidy+Programs,,Sumner Economic Analysis of U.S. Cotton Subsidy Programs
38,US Commodity Policy,biofuels_policy,Tyner,Wallace E.,The Integration of Energy and Agricultural Markets,2010,Ag Econ,ARTICLE,cereals,HIGH,NEEDED,Corn-ethanol market linkage,https://annas-archive.org/search?q=Tyner+The+Integration+of+Energy+and+Agricultural+Markets,https://archive.org/search?query=Tyner+The+Integration+of+Energy+and+Agricultural+Markets,,Tyner The Integration of Energy and Agricultural Markets
39,US Commodity Policy,biofuels_policy,Carter,Colin A.,The Effect of the U.S. Ethanol Mandate on Corn Prices,2017,Ag Econ,ARTICLE,cereals,CRITICAL,NEEDED,"With Rausser, Smith",https://annas-archive.org/search?q=Carter+The+Effect+of+the+U.S.+Ethanol+Mandate+on+Corn+Prices,https://archive.org/search?query=Carter+The+Effect+of+the+U.S.+Ethanol+Mandate+on+Corn+Prices,https://doi.org/10.1111/agec.12316,Carter The Effect of the U.S. Ethanol Mandate on Corn Prices
40,US Commodity Policy,biofuels_policy,Babcock,Bruce A.,The Impact of US Biofuel Policies on Agricultural Price Levels and Volatility,2011,ICTSD Issue Paper,REPORT,cereals,HIGH,NEEDED,Volatility focus,https://annas-archive.org/search?q=Babcock+The+Impact+of+US+Biofuel+Policies+on+Agricultural+Price+Levels+and+Volatility,https://archive.org/search?query=Babcock+The+Impact+of+US+Biofuel+Policies+on+Agricultural+Price+Levels+and+Volatility,,Babcock The Impact of US Biofuel Policies on Agricultural Price Levels and Volatility
41,US Commodity Policy,biofuels_policy,Schnepf,Randy,Renewable Fuel Standard (RFS): An Overview,2019,CRS Report R43325,REPORT,cereals,HIGH,NEEDED,RFS policy primer,https://annas-archive.org/search?q=Schnepf+Renewable+Fuel+Standard+%28RFS%29%3A+An+Overview,https://archive.org/search?query=Schnepf+Renewable+Fuel+Standard+%28RFS%29%3A+An+Overview,https://crsreports.congress.gov/product/pdf/R/R43325,Schnepf Renewable Fuel Standard (RFS): An Overview
42,US Commodity Policy,sugar_dairy_policy,Beghin,John C.,The Cost of the US Sugar Program Revisited,2017,Applied Econ Perspectives & Policy,ARTICLE,sugar,HIGH,NEEDED,Welfare cost updates,https://annas-archive.org/search?q=Beghin+The+Cost+of+the+US+Sugar+Program+Revisited,https://archive.org/search?query=Beghin+The+Cost+of+the+US+Sugar+Program+Revisited,,Beghin The Cost of the US Sugar Program Revisited
43,US Commodity Policy,sugar_dairy_policy,Schnepf,Randy,U.S. Sugar Program Fundamentals,2018,CRS Report R44347,REPORT,sugar,HIGH,NEEDED,Tariff-rate quota mechanics,https://annas-archive.org/search?q=Schnepf+U.S.+Sugar+Program+Fundamentals,https://archive.org/search?query=Schnepf+U.S.+Sugar+Program+Fundamentals,https://crsreports.congress.gov/product/pdf/R/R44347,Schnepf U.S. Sugar Program Fundamentals
44,US Commodity Policy,sugar_dairy_policy,Cessna,Jerry,The Dairy Margin Protection Program,2019,USDA ERS,REPORT,dairy,MEDIUM,NEEDED,DMC program analysis,https://annas-archive.org/search?q=Cessna+The+Dairy+Margin+Protection+Program,https://archive.org/search?query=Cessna+The+Dairy+Margin+Protection+Program,,Cessna The Dairy Margin Protection Program
45,US Commodity Policy,sugar_dairy_policy,Manchester,Alden C.,The Public Role in the Dairy Economy,1983,Westview,BOOK,dairy,MEDIUM,NEEDED,Foundational FMMO history,https://annas-archive.org/search?q=Manchester+The+Public+Role+in+the+Dairy+Economy,https://archive.org/search?query=Manchester+The+Public+Role+in+the+Dairy+Economy,,Manchester The Public Role in the Dairy Economy
46,US Commodity Policy,conservation_policy,Claassen,Roger,Grassland to Cropland Conversion in the Northern Plains,2011,USDA ERS ERR-120,REPORT,none,LOW,NEEDED,CRP & land-use,https://annas-archive.org/search?q=Claassen+Grassland+to+Cropland+Conversion+in+the+Northern+Plains,https://archive.org/search?query=Claassen+Grassland+to+Cropland+Conversion+in+the+Northern+Plains,https://www.ers.usda.gov/publications,Claassen Grassland to Cropland Conversion in the Northern Plains
47,US Commodity Policy,farm_bills,Schnepf,Randy,Agriculture and the 2014 Farm Bill,2014,CRS,REPORT,multi,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Schnepf+Agriculture+and+the+2014+Farm+Bill,https://archive.org/search?query=Schnepf+Agriculture+and+the+2014+Farm+Bill,,Schnepf Agriculture and the 2014 Farm Bill
48,US Commodity Policy,subsidies_supports,Glauber,Joseph W.,The Growth of the Federal Crop Insurance Program,2013,AJAE,ARTICLE,multi,HIGH,NEEDED,Crop insurance expansion,https://annas-archive.org/search?q=Glauber+The+Growth+of+the+Federal+Crop+Insurance+Program,https://archive.org/search?query=Glauber+The+Growth+of+the+Federal+Crop+Insurance+Program,,Glauber The Growth of the Federal Crop Insurance Program
49,US Commodity Policy,subsidies_supports,Smith,Vincent H.,Agricultural Subsidies in the WTO Green Box,2009,Cambridge UP,BOOK,multi,MEDIUM,NEEDED,"With Meléndez-Ortiz, Bellmann",https://annas-archive.org/search?q=Smith+Agricultural+Subsidies+in+the+WTO+Green+Box,https://archive.org/search?query=Smith+Agricultural+Subsidies+in+the+WTO+Green+Box,,Smith Agricultural Subsidies in the WTO Green Box
50,US Commodity Policy,biofuels_policy,de Gorter,Harry,The Economics of Biofuel Policies,2015,Palgrave,BOOK,cereals,MEDIUM,NEEDED,"With Drabik, Just",https://annas-archive.org/search?q=de+Gorter+The+Economics+of+Biofuel+Policies,https://archive.org/search?query=de+Gorter+The+Economics+of+Biofuel+Policies,,de Gorter The Economics of Biofuel Policies
51,US Commodity Policy,biofuels_policy,Hochman,Gal,Corn Ethanol and U.S. Biofuel Policy 10 Years Later,2018,Applied Econ Perspectives & Policy,ARTICLE,cereals,MEDIUM,NEEDED,Retrospective,https://annas-archive.org/search?q=Hochman+Corn+Ethanol+and+U.S.+Biofuel+Policy+10+Years+Later,https://archive.org/search?query=Hochman+Corn+Ethanol+and+U.S.+Biofuel+Policy+10+Years+Later,,Hochman Corn Ethanol and U.S. Biofuel Policy 10 Years Later
52,US Commodity Policy,sugar_dairy_policy,Bryant,Henry,US Sugar Import Policy,2014,Choices Magazine,ARTICLE,sugar,MEDIUM,NEEDED,Accessible overview,https://annas-archive.org/search?q=Bryant+US+Sugar+Import+Policy,https://archive.org/search?query=Bryant+US+Sugar+Import+Policy,https://www.choicesmagazine.org/,Bryant US Sugar Import Policy
53,US Commodity Policy,conservation_policy,Hellerstein,Daniel,The Conservation Reserve Program: 30 Years of Soil Conservation,2017,USDA ERS EIB-169,REPORT,none,LOW,NEEDED,CRP land-supply effects,https://annas-archive.org/search?q=Hellerstein+The+Conservation+Reserve+Program%3A+30+Years+of+Soil+Conservation,https://archive.org/search?query=Hellerstein+The+Conservation+Reserve+Program%3A+30+Years+of+Soil+Conservation,https://www.ers.usda.gov/publications/pub-details/?pubid=83915,Hellerstein The Conservation Reserve Program: 30 Years of Soil Conservation
54,US Commodity Policy,farm_bills,Coppess,Jonathan W.,The Fault Lines of Farm Policy: A History of the Farm Bill,2018,U Nebraska Press,BOOK,multi,HIGH,NEEDED,Political-history approach,https://annas-archive.org/search?q=Coppess+The+Fault+Lines+of+Farm+Policy%3A+A+History+of+the+Farm+Bill,https://archive.org/search?query=Coppess+The+Fault+Lines+of+Farm+Policy%3A+A+History+of+the+Farm+Bill,,Coppess The Fault Lines of Farm Policy: A History of the Farm Bill
55,US Commodity Policy,subsidies_supports,Paarlberg,Robert,Food Politics: What Everyone Needs to Know,2020,Oxford UP,BOOK,multi,HIGH,NEEDED,3rd ed.; accessible,https://annas-archive.org/search?q=Paarlberg+Food+Politics%3A+What+Everyone+Needs+to+Know,https://archive.org/search?query=Paarlberg+Food+Politics%3A+What+Everyone+Needs+to+Know,,Paarlberg Food Politics: What Everyone Needs to Know
56,US Commodity Policy,biofuels_policy,Tyner,Wallace E.,"The US Ethanol and Biofuels Boom: Its Origins, Current Status, and Future Prospects",2008,BioScience,ARTICLE,cereals,MEDIUM,NEEDED,Early retrospective,https://annas-archive.org/search?q=Tyner+The+US+Ethanol+and+Biofuels+Boom%3A+Its+Origins%2C+Current+Status%2C+and+Future+Prospects,https://archive.org/search?query=Tyner+The+US+Ethanol+and+Biofuels+Boom%3A+Its+Origins%2C+Current+Status%2C+and+Future+Prospects,,"Tyner The US Ethanol and Biofuels Boom: Its Origins, Current Status, and Future Prospects"
57,US Commodity Policy,sugar_dairy_policy,Bozic,Marin,Price Discovery in Federal Milk Marketing Orders,2012,AJAE,ARTICLE,dairy,LOW,NEEDED,FMMO mechanics,https://annas-archive.org/search?q=Bozic+Price+Discovery+in+Federal+Milk+Marketing+Orders,https://archive.org/search?query=Bozic+Price+Discovery+in+Federal+Milk+Marketing+Orders,,Bozic Price Discovery in Federal Milk Marketing Orders
58,US Commodity Policy,subsidies_supports,Alston,Julian M.,A Global Perspective on Agricultural R&D,2010,U Queensland,WORKING_PAPER,multi,LOW,NEEDED,R&D spending & productivity,https://annas-archive.org/search?q=Alston+A+Global+Perspective+on+Agricultural+R%26D,https://archive.org/search?query=Alston+A+Global+Perspective+on+Agricultural+R%26D,,Alston A Global Perspective on Agricultural R&D
59,US Commodity Policy,farm_bills,Jurenas,Remy,Sugar Provisions of the 2008 Farm Bill,2008,CRS,REPORT,sugar,LOW,NEEDED,,https://annas-archive.org/search?q=Jurenas+Sugar+Provisions+of+the+2008+Farm+Bill,https://archive.org/search?query=Jurenas+Sugar+Provisions+of+the+2008+Farm+Bill,,Jurenas Sugar Provisions of the 2008 Farm Bill
60,US Commodity Policy,subsidies_supports,Westcott,Paul C.,USDA Agricultural Baseline Projections,2020,USDA ERS,REPORT,multi,MEDIUM,NEEDED,Annual 10-year projections,https://annas-archive.org/search?q=Westcott+USDA+Agricultural+Baseline+Projections,https://archive.org/search?query=Westcott+USDA+Agricultural+Baseline+Projections,https://www.ers.usda.gov/publications/pub-details/?pubid=103310,Westcott USDA Agricultural Baseline Projections
61,Food Price History,pre_1900,Cronon,William,Nature's Metropolis: Chicago and the Great West,1991,Norton,BOOK,cereals,CRITICAL,NEEDED,CBOT origin story,https://annas-archive.org/search?q=Cronon+Nature%27s+Metropolis%3A+Chicago+and+the+Great+West,https://archive.org/search?query=Cronon+Nature%27s+Metropolis%3A+Chicago+and+the+Great+West,,Cronon Nature's Metropolis: Chicago and the Great West
62,Food Price History,pre_1900,Rothenberg,Winifred B.,From Market-Places to a Market Economy,1992,U Chicago Press,BOOK,multi,MEDIUM,NEEDED,Early New England ag markets,https://annas-archive.org/search?q=Rothenberg+From+Market-Places+to+a+Market+Economy,https://archive.org/search?query=Rothenberg+From+Market-Places+to+a+Market+Economy,,Rothenberg From Market-Places to a Market Economy
63,Food Price History,pre_1900,Atack,Jeremy,A New Economic View of American History,1994,Norton,BOOK,multi,MEDIUM,NEEDED,With Passell; standard,https://annas-archive.org/search?q=Atack+A+New+Economic+View+of+American+History,https://archive.org/search?query=Atack+A+New+Economic+View+of+American+History,,Atack A New Economic View of American History
64,Food Price History,pre_1900,Fogel,Robert W.,Railroads and American Economic Growth,1964,Johns Hopkins,BOOK,cereals,LOW,NEEDED,Social-saving for grain transport,https://annas-archive.org/search?q=Fogel+Railroads+and+American+Economic+Growth,https://archive.org/search?query=Fogel+Railroads+and+American+Economic+Growth,,Fogel Railroads and American Economic Growth
65,Food Price History,20c_inflation,Cochrane,Willard W.,The Development of American Agriculture: A Historical Analysis,1993,U Minnesota Press,BOOK,multi,CRITICAL,NEEDED,Standard US ag history,https://annas-archive.org/search?q=Cochrane+The+Development+of+American+Agriculture%3A+A+Historical+Analysis,https://archive.org/search?query=Cochrane+The+Development+of+American+Agriculture%3A+A+Historical+Analysis,,Cochrane The Development of American Agriculture: A Historical Analysis
66,Food Price History,20c_inflation,Schertz,Lyle P.,Another Revolution in U.S. Farming?,1979,USDA ESCS,REPORT,multi,HIGH,NEEDED,Post-1973 transformation,https://annas-archive.org/search?q=Schertz+Another+Revolution+in+U.S.+Farming%3F,https://archive.org/search?query=Schertz+Another+Revolution+in+U.S.+Farming%3F,,Schertz Another Revolution in U.S. Farming?
67,Food Price History,20c_inflation,Davis,Joseph S.,Wheat and the AAA,1935,Brookings,BOOK,cereals,MEDIUM,NEEDED,Early New Deal ag policy,https://annas-archive.org/search?q=Davis+Wheat+and+the+AAA,https://archive.org/search?query=Davis+Wheat+and+the+AAA,,Davis Wheat and the AAA
